Jugador,walkingRhythm_ritmo,joggingRhythm_ritmo,lowSpeedRunningRhythm_ritmo,highSpeedRunningRhythm_ritmo,sprintRhythm_ritmo,veryHighSpeedRhythm_ritmo,acc_dist_3_4_aceleraciones,acc_dist_5_6_aceleraciones,max_acceleration_aceleraciones,num_efforts_0_1_aceleraciones,num_efforts_1_2_aceleraciones,num_efforts_2_3_aceleraciones,num_efforts_3_4_aceleraciones,num_efforts_5_6_aceleraciones,num_efforts_max_acc_aceleraciones,walkingDistance_umbral_est,joggingDistance_umbral_est,distance_above_95_percent_umbral_rel,maxSpeed_umbral_rel,esfuerzos_above_95_percent_umbral_rel
Rodri,36.43817110143858,59.93840929920318,19.69373964635616,5.624309323900836,1.09687002835019,0.0668972748831135,35.515,0.21,7.362999999999999,1.3,0.8,0.7,2.3,0.2,1.8,3490.094985836045,5733.134205569561,27.23018144508264,29.6064,3.2
Guaita,40.09128455993878,11.021746479404122,0.6397457529440996,0.1052641691215167,0.0023100983114687,0.0,2.9041666666666663,0.0,8.0325,2.0,0.5833333333333334,0.4166666666666667,0.0833333333333333,0.0,2.0,3931.0883301553567,1080.5848874904714,6.040212166543115,22.131,1.5
D. James,39.04744553935546,43.13812517745284,18.937627926834526,8.970518425365993,3.845270075318215,0.9222301396586968,86.02666666666666,0.9266666666666667,8.343333333333334,1.3333333333333333,0.6666666666666666,0.0,7.333333333333333,0.6666666666666666,2.333333333333333,2926.059919038528,3229.9326066353315,19.625464722473243,33.39600000000001,2.6666666666666665
C. Romero,41.41388470950203,42.84787006664307,10.595426616659834,3.264459213622935,1.21709976091819,0.1729576490564156,47.97714285714286,0.2385714285714285,8.051428571428572,1.8571428571428568,0.8571428571428571,0.4285714285714285,4.714285714285714,0.2857142857142857,2.0,3999.466403480421,4139.108787253493,22.101621360318244,31.22742857142857,3.4285714285714284
Adam Armstrong,37.56559153614917,48.14198209936794,15.438259299794767,7.076318577181092,2.545680285749935,0.6914456525567556,65.45666666666666,0.4022222222222222,8.345555555555556,0.8888888888888888,1.1111111111111112,0.7777777777777778,4.222222222222222,0.4444444444444444,2.333333333333333,2928.901324820275,3747.51873014081,23.61821262551016,33.068000000000005,2.333333333333333
N. Phillips,34.36632638780164,57.47132523042137,15.536246574278238,3.95968144398604,1.782302673522664,0.32380205912143,48.77,16.51,7.57,0.0,2.0,0.0,3.0,0.0,1.0,2250.077943030666,3762.839233919789,17.860643885332856,32.76,1.0
Y. Mina,36.5892574101285,36.8963116411992,8.09855455232842,1.9768633064517496,0.5207141233584468,0.0,45.31,0.0,8.21,1.0,1.0,1.0,1.0,0.0,2.0,2882.3797345785565,2906.5684433882025,14.515590565247768,29.988,2.0
Ederson,39.57500464530833,7.263267467066231,0.82240602282113,0.2279091941456387,0.0272637439618962,0.0029536653890997,21.814166666666665,0.4241666666666666,8.033333333333333,2.1666666666666665,0.5833333333333334,0.3333333333333333,0.25,0.25,2.1666666666666665,3836.128376961731,705.3571245120179,7.644749752411283,24.369,1.5
M. Damsgaard,36.679263914275694,45.22895011909074,17.366549493976684,6.514067106776744,1.560358323567549,0.1187281466108449,40.760000000000005,0.86,7.595,2.0,0.5,0.5,3.0,0.5,2.0,2472.1192533160543,3043.7915840087494,21.00853798787324,30.258,4.5
R. Ait Nouri,40.06426400429456,43.19541254963333,14.094127705262457,6.683211443291763,2.878867004693496,0.4607073815577274,84.9157142857143,0.8642857142857142,7.984285714285714,1.4285714285714286,0.8571428571428571,0.7142857142857143,4.0,0.5714285714285714,1.8571428571428568,3677.216298271221,3955.9645982323914,29.325548043470057,32.35885714285714,2.7142857142857144
